id_cliente,nome,cpf,data_nascimento,data_cadastro
1,Ana Sophia Araújo,438.150.926-98,1961-06-28,2020-07-31
2,Enrico Dias,803.564.791-10,1999-06-06,2022-09-11
3,Vitor Hugo da Cruz,654.192.038-98,1965-11-28,2023-05-20
4,Dr. Augusto Ramos,816.042.537-62,2007-04-11,2020-12-02
5,Rafael Dias,413.607.289-96,1970-05-25,2023-06-24
6,Sr. Raul Fogaça,123.975.840-50,2005-12-01,2023-02-01
7,Enzo Azevedo,564.017.289-49,1986-04-02,2024-03-25
8,Francisco Cunha,384.579.610-39,1968-09-28,2024-08-30
9,Ana Laura Barros,128.653.097-03,1999-11-17,2024-04-23
10,Eloah Vieira,014.652.987-11,1970-02-03,2024-03-09
11,Thiago Ferreira,821.659.703-77,1970-04-28,2024-11-30
12,Agatha Martins,701.269.835-77,1965-02-26,2024-06-17
13,Vitor Hugo Teixeira,297.418.306-96,1980-07-16,2023-09-21
14,Milena Moura,789.015.643-00,1999-05-13,2025-01-14
15,Nicolas das Neves,019.875.243-14,1978-04-12,2024-06-16
16,Marcelo Costela,973.685.102-86,2004-03-04,2023-12-30
17,Dr. Juan Rezende,019.352.764-25,1972-04-09,2024-11-21
18,Beatriz Pereira,247.103.589-23,1965-09-04,2022-05-04
19,Juan Rodrigues,736.018.952-77,1990-04-17,2022-10-03
20,Pietra Rodrigues,234.107.596-70,1963-03-21,2020-10-02
